id,time_submitted,weekday,time,hour
225,10/15/15 5:08,Thu,5:08 AM,5
226,10/3/15 16:58,Sat,4:58 PM,16
227,10/5/15 23:34,Mon,11:34 PM,23
228,10/27/15 10:13,Tue,10:13 AM,10
229,10/25/15 21:38,Sun,9:38 PM,21
230,10/3/15 6:44,Sat,6:44 AM,6
231,10/19/15 22:29,Mon,10:29 PM,22
232,10/9/15 17:52,Fri,5:52 PM,17
233,10/15/15 23:17,Thu,11:17 PM,23
234,10/5/15 9:56,Mon,9:56 AM,9
235,10/9/15 17:59,Fri,5:59 PM,17
236,10/3/15 7:41,Sat,7:41 AM,7
237,10/18/15 8:50,Sun,8:50 AM,8
238,10/6/15 12:21,Tue,12:21 PM,12
239,10/22/15 22:47,Thu,10:47 PM,22
240,10/24/15 22:30,Sat,10:30 PM,22
241,10/19/15 16:44,Mon,4:44 PM,16
242,10/6/15 5:59,Tue,5:59 AM,5
243,10/11/15 0:06,Sun,12:06 AM,0
244,10/22/15 5:59,Thu,5:59 AM,5
245,10/23/15 4:17,Fri,4:17 AM,4
246,10/25/15 22:34,Sun,10:34 PM,22
247,10/8/15 14:15,Thu,2:15 PM,14
248,10/2/15 6:46,Fri,6:46 AM,6
249,10/5/15 2:29,Mon,2:29 AM,2
250,10/3/15 14:04,Sat,2:04 PM,14
251,10/18/15 23:22,Sun,11:22 PM,23
252,10/23/15 5:37,Fri,5:37 AM,5
253,10/28/15 10:34,Wed,10:34 AM,10
254,10/20/15 20:00,Tue,8:00 PM,20
255,10/14/15 1:20,Wed,1:20 AM,1
256,10/10/15 16:43,Sat,4:43 PM,16
257,10/27/15 11:43,Tue,11:43 AM,11
258,10/26/15 7:17,Mon,7:17 AM,7
259,10/18/15 6:46,Sun,6:46 AM,6
260,10/28/15 7:27,Wed,7:27 AM,7
261,10/11/15 12:14,Sun,12:14 PM,12
262,10/21/15 9:53,Wed,9:53 AM,9
263,10/25/15 10:34,Sun,10:34 AM,10
264,10/5/15 1:16,Mon,1:16 AM,1
265,10/4/15 2:04,Sun,2:04 AM,2
266,10/15/15 20:53,Thu,8:53 PM,20
267,10/24/15 7:43,Sat,7:43 AM,7
268,10/5/15 15:16,Mon,3:16 PM,15
269,10/20/15 19:23,Tue,7:23 PM,19
270,10/27/15 9:31,Tue,9:31 AM,9
271,10/27/15 5:16,Tue,5:16 AM,5
272,10/20/15 21:57,Tue,9:57 PM,21
273,10/8/15 9:11,Thu,9:11 AM,9
274,10/26/15 1:13,Mon,1:13 AM,1
275,10/17/15 3:52,Sat,3:52 AM,3
276,10/22/15 7:28,Thu,7:28 AM,7
277,10/7/15 13:23,Wed,1:23 PM,13
278,10/18/15 21:09,Sun,9:09 PM,21
279,10/16/15 6:52,Fri,6:52 AM,6
280,10/28/15 20:00,Wed,8:00 PM,20
281,10/17/15 3:25,Sat,3:25 AM,3
282,10/20/15 18:09,Tue,6:09 PM,18
283,10/11/15 3:11,Sun,3:11 AM,3
284,10/7/15 23:08,Wed,11:08 PM,23
285,10/17/15 18:02,Sat,6:02 PM,18
286,10/21/15 22:26,Wed,10:26 PM,22
287,10/13/15 8:34,Tue,8:34 AM,8
288,10/25/15 16:44,Sun,4:44 PM,16
289,10/10/15 13:31,Sat,1:31 PM,13
290,10/2/15 6:17,Fri,6:17 AM,6
291,10/21/15 7:10,Wed,7:10 AM,7
292,10/27/15 0:55,Tue,12:55 AM,0
293,10/17/15 3:23,Sat,3:23 AM,3
294,10/13/15 13:31,Tue,1:31 PM,13
295,10/5/15 16:53,Mon,4:53 PM,16
296,10/2/15 19:05,Fri,7:05 PM,19
297,10/9/15 18:49,Fri,6:49 PM,18
298,10/3/15 22:42,Sat,10:42 PM,22
